1,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,22,23,24,25
1,50.8,9345.2,62,200.8,3,1332,247,5808,1,19.4,1,3,32.6,3.2,2.4,1,24,19,1083.8,26.4
1,19.2,9124.4,33,165.8,2,802.8,174.8,5337.2,1,19,1,1,13.8,3.6,2.4,1,2,18.8,913.2,33
1,19.2,9144.4,84.2,165.6,3,832.2,174.4,5344.4,1,19,1,44.6,12,2,2,1,10.6,19,888.8,30.4
1,19.2,8919,62.8,166,1,629.6,175.4,5354,1,19,1,3,2,3,2,1,14.2,19,560.2,29.6
1,19.2,8930.6,80.4,165.8,17.6,64.8,176.2,5424,1,19,1,1,19.6,2.4,3,1,25.6,19,520.4,27.4
1,19.2,8925.6,61,166.2,2,891.6,176,5432.8,1,19,1,1,185.2,1.6,1.2,1,31.4,19,1695.6,12
1,19.2,8881.2,32.6,165.8,2,874,182.2,5395.4,1,19,1,8,382.4,2,1,1,22.4,19,1693.2,8
1,19.2,8898,79.8,165.8,3,802.6,176.2,5373.2,1,19,1,1,14.4,1.6,2,1,40.8,19,1701.6,14
1,19.2,8910.4,61,165.6,1,840.4,175.8,5357.6,1,19,1,1,18,2,9.6,1,20,19,1652.6,20
1,19.2,8847,33,165.8,11,624.8,176,5381.2,1,19,1,128.8,27.2,27.6,1,1,53.8,19,938.6,21.8
1,19.2,8871.2,29.6,165.4,5,890.2,175.6,5373,1,19,1,218.6,8.8,35.8,1,1,8,19,947.8,2
1,19.2,8775.2,6,168,2,866.6,175.2,5366,1,19,1,7,31.4,3,1,1,130,19,927.8,13
1,19.2,8807.4,56,165.2,6,795.6,174.8,5403.8,1,19,1,2,219.2,2,3,1,21.4,41.6,885.4,1
1,19.2,8906.4,57.2,165.6,3,828.4,174.8,5411.6,1,19,1,14,50,11,2,1,7,19,2706.4,12
1,19.2,8874.2,16,165.2,3,621.8,175,5364.2,1,19,1,1,14,5,5,1,3,19,2449.8,33.4
1,19.2,8896.8,80,165.6,1,881.8,175,5377.2,1,19.2,1,3,27.6,9,7.8,1,26.4,19,2477,25.2
1,19.2,8906.4,24.4,165.4,1,870.2,178.8,5365.8,1,19,1,1,40.8,13,1,1,31.4,19,2463,23
1,19.2,8795.4,38.2,165.6,9,792.6,173.4,5430,1,19,1,1,214.4,70,2,1,35.6,19,499,12
1,19.2,8830.2,57.2,165.2,7,825,173.8,5417.4,1.2,19,1,421.8,38.2,15.6,1.2,1,278,19,519.2,9
1,19.4,8805.6,57.8,167.2,1,623.8,174.4,5377.2,1,19.2,1,1,30.2,4,1,1,20.6,19,491,3
